pair	pp	group	sentence	spk_thisTrial	voice	wavfile	trial	rating	rt	participant	voiceC	trialC	recognition	simRatingPair
1_1	1	E	5	1	self	spk1_5.wav	68	1	0.870285987854	1	-0.5	-0.215481171548117	0.233333333333333	1.8
1_1	1	E	30	1	self	spk1_30.wav	46	2	0.836942911148	1	-0.5	-0.307531380753138	0.233333333333333	1.8
1_1	1	E	35	1	self	spk1_35.wav	126	1	0.385811090469	1	-0.5	0.0271966527196653	0.233333333333333	1.8
1_1	1	E	41	1	self	spk1_41.wav	130	3	1.5893599987	1	-0.5	0.0439330543933054	0.233333333333333	1.8
1_1	1	E	18	1	self	spk1_18.wav	8	2	0.987934827805	1	-0.5	-0.46652719665272	0.233333333333333	1.8
1_1	1	E	21	1	self	spk1_21.wav	133	2	2.30850315094	1	-0.5	0.0564853556485355	0.233333333333333	1.8
1_1	1	E	12	1	self	spk1_12.wav	173	2	1.10235190392	1	-0.5	0.223849372384937	0.233333333333333	1.8
1_1	1	E	44	1	self	spk1_44.wav	147	2	1.28955602646	1	-0.5	0.115062761506276	0.233333333333333	1.8
1_1	1	E	10	1	self	spk1_10.wav	42	1	1.00488877296	1	-0.5	-0.324267782426778	0.233333333333333	1.8
1_1	1	E	49	1	self	spk1_49.wav	189	2	0.955040216446	1	-0.5	0.290794979079498	0.233333333333333	1.8
1_1	1	E	40	1	self	spk1_40.wav	17	2	1.57329487801	1	-0.5	-0.428870292887029	0.233333333333333	1.8
1_1	1	E	15	1	self	spk1_15.wav	44	2	2.24017500877	1	-0.5	-0.315899581589958	0.233333333333333	1.8
1_1	1	E	31	1	self	spk1_31.wav	166	2	1.75648212433	1	-0.5	0.194560669456067	0.233333333333333	1.8
1_1	1	E	14	1	self	spk1_14.wav	72	2	2.0235350132	1	-0.5	-0.198744769874477	0.233333333333333	1.8
1_1	1	E	53	1	self	spk1_53.wav	128	1	1.30575489998	1	-0.5	0.0355648535564853	0.233333333333333	1.8
1_1	1	E	37	1	self	spk1_37.wav	35	2	1.48872494698	1	-0.5	-0.353556485355649	0.233333333333333	1.8
1_1	1	E	7	1	self	spk1_7.wav	196	3	1.67229294777	1	-0.5	0.320083682008368	0.233333333333333	1.8
1_1	1	E	45	1	self	spk1_45.wav	39	1	0.871151924133	1	-0.5	-0.336820083682008	0.233333333333333	1.8
1_1	1	E	60	1	self	spk1_60.wav	119	2	2.20786881447	1	-0.5	-0.002092050209205	0.233333333333333	1.8
1_1	1	E	50	1	self	spk1_50.wav	38	1	1.42267894745	1	-0.5	-0.341004184100418	0.233333333333333	1.8
1_1	1	E	22	1	self	spk1_22.wav	160	1	1.23814702034	1	-0.5	0.169456066945607	0.233333333333333	1.8
1_1	1	E	25	1	self	spk1_25.wav	14	1	1.45620918274	1	-0.5	-0.441422594142259	0.233333333333333	1.8
1_1	1	E	55	1	self	spk1_55.wav	122	3	2.05672097206	1	-0.5	0.0104602510460251	0.233333333333333	1.8
1_1	1	E	9	1	self	spk1_9.wav	124	2	0.0689830780029	1	-0.5	0.0188284518828452	0.233333333333333	1.8
1_1	1	E	58	1	self	spk1_58.wav	178	1	0.737948179245	1	-0.5	0.244769874476987	0.233333333333333	1.8
1_1	1	E	51	1	self	spk1_51.wav	58	3	1.27281785011	1	-0.5	-0.257322175732218	0.233333333333333	1.8
1_1	1	E	59	1	self	spk1_59.wav	206	3	1.2720990181	1	-0.5	0.361924686192469	0.233333333333333	1.8
1_1	1	E	39	1	self	spk1_39.wav	154	1	2.32484292984	1	-0.5	0.144351464435146	0.233333333333333	1.8
1_1	1	E	32	1	self	spk1_32.wav	168	2	1.47304701805	1	-0.5	0.202928870292887	0.233333333333333	1.8
1_1	1	E	33	1	self	spk1_33.wav	129	1	0.403515815735	1	-0.5	0.0397489539748954	0.233333333333333	1.8
1_1	1	E	46	1	self	spk1_46.wav	131	1	1.55658817291	1	-0.5	0.0481171548117155	0.233333333333333	1.8
1_1	1	E	13	1	self	spk1_13.wav	12	1	0.921618938446	1	-0.5	-0.449790794979079	0.233333333333333	1.8
1_1	1	E	34	1	self	spk1_34.wav	51	2	1.35554504395	1	-0.5	-0.286610878661088	0.233333333333333	1.8
1_1	1	E	8	1	self	spk1_8.wav	92	2	1.84061717987	1	-0.5	-0.115062761506276	0.233333333333333	1.8
1_1	1	E	27	1	self	spk1_27.wav	148	2	0.669408082962	1	-0.5	0.119246861924686	0.233333333333333	1.8
1_1	1	E	48	1	self	spk1_48.wav	54	3	1.99096918106	1	-0.5	-0.274058577405858	0.233333333333333	1.8
1_1	1	E	42	1	self	spk1_42.wav	163	2	1.15536618233	1	-0.5	0.182008368200837	0.233333333333333	1.8
1_1	1	E	24	1	self	spk1_24.wav	164	3	1.92374587059	1	-0.5	0.186192468619247	0.233333333333333	1.8
1_1	1	E	2	1	self	spk1_2.wav	205	2	0.435790061951	1	-0.5	0.357740585774059	0.233333333333333	1.8
