DEMeans	BEMeans	overall	speaker	rank	speakerNumber
4.89166666666667	4	4.66875	spk1	3	1
5.55	5.7	5.5875	spk10	8	10
4.59166666666667	4.4	4.54375	spk11	14	11
5.66666666666667	5	5.5	spk12	4	12
6.75833333333333	5.3	6.39375	spk13	5	13
6.45	5.9	6.3125	spk15	6	15
6.63333333333333	6.1	6.5	spk16	17	16
4.18333333333333	5	4.3875	spk17	22	17
5.34166666666667	5.2	5.30625	spk18	24	18
5.78333333333333	5.3	5.6625	spk19	13	19
4.03333333333333	3.2	3.825	spk2	2	2
5	4	4.75	spk20	7	20
6.13333333333333	5.5	5.975	spk21	9	21
6.39166666666667	6	6.29375	spk23	16	23
5.64166666666667	5.8	5.68125	spk24	21	24
5.15833333333333	5.7	5.29375	spk25	23	25
3.59166666666667	3.9	3.66875	spk26	15	26
4.94166666666667	4.5	4.83125	spk3	10	3
4.15833333333333	4.8	4.31875	spk4	12	4
3.98333333333333	4.5	4.1125	spk5	11	5
4.2	3.6	4.05	spk6	19	6
3.50833333333333	4	3.63125	spk7	1	7
4.86666666666667	4.5	4.775	spk8	20	8
6.58333333333333	5.7	6.3625	spk9	18	9
