ID,DATETIME,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,baseline_mean,PASSIVE_OR_ACTIVE_FIRST,PASSIVE_MIDDLE,PASSIVE_OUT,PASSIVE_IN,ACTIVE_MIDDLE,ACTIVE_OUT,ACTIVE_IN,Sex,Age,PANAS_STATE_1,PANAS_STATE_2,PANAS_STATE_3,PANAS_STATE_4,PANAS_STATE_5,PANAS_STATE_6,PANAS_STATE_7,PANAS_STATE_8,PANAS_STATE_9,PANAS_STATE_10,PANAS_STATE_11,PANAS_STATE_12,PANAS_STATE_13,PANAS_STATE_14,PANAS_STATE_15,PANAS_STATE_16,PANAS_STATE_17,PANAS_STATE_18,PANAS_STATE_19,PANAS_STATE_20,PANAS_STATE_21,PA_STATE,NA_STATE,PANAS_TRAIT_1,PANAS_TRAIT_2,PANAS_TRAIT_3,PANAS_TRAIT_4,PANAS_TRAIT_5,PANAS_TRAIT_6,PANAS_TRAIT_7,PANAS_TRAIT_8,PANAS_TRAIT_9,PANAS_TRAIT_10,PANAS_TRAIT_11,PANAS_TRAIT_12,PANAS_TRAIT_13,PANAS_TRAIT_14,PANAS_TRAIT_15,PANAS_TRAIT_16,PANAS_TRAIT_17,PANAS_TRAIT_18,PANAS_TRAIT_19,PANAS_TRAIT_20,PANAS_TRAIT_21,PA_TRAIT,NA_TRAIT
1,2022-05-03 10:28:04,5,4,6,2,7,7,8,6,8,8,2,8,1,4,8,4,2,6,4,6,7,8,8,8,7,4,8,5,3,6,4,5,8,8,4,4,5.638888889,0,-1.9167,-1,-0.5,-0.5,0.6667,-0.75,,20,5,2,5,2,3,2,1,2,5,4,1,5,2,5,2,4,5,1,5,1,3,4.6,1.8,5,1,5,3,3,3,3,2,5,5,5,3,2,5,4,5,5,5,5,2,5,4.6,3.3
5,2022-05-04 08:26:33,2,1,1,1,5,1,3,3,4,5,3,4,5,2,4,2,5,4,4,4,6,6,5,4,5,7,3,3,2,2,3,3,4,5,5,5,3.638888889,0,-0.5,-0.75,0.1667,-0.5,-0.25,-0.4167,1,21,3,2,2,3,1,1,1,1,3,2,3,3,1,3,2,5,4,3,3,1,1,2.9,1.8,4,1,5,1,4,1,1,1,4,4,2,4,1,5,2,4,4,3,5,1,1,4.3,1.4
6,2022-05-04 09:28:44,3,5,4,3,5,4,4,3,3,6,5,4,5,3,5,3,6,6,4,6,6,4,3,5,2,5,4,3,5,4,4,4,4,6,6,6,4.388888889,0,0.1667,-0.9167,0.9167,0.0833,-0.0833,0.4167,1,20,3,1,3,1,3,1,1,1,4,1,1,4,1,3,1,4,4,1,3,1,1,3.2,1,4,1,3,1,3,1,1,1,4,3,1,4,1,4,1,4,4,1,4,1,1,3.7,1
12,2022-05-06 10:19:49,5,5,4,4,6,5,4,3,3,7,6,6,4,3,5,4,7,2,5,5,7,3,4,6,2,4,4,5,4,5,4,4,5,6,7,6,4.694444444,0,-0.0833,0.0833,0.5,0.1667,-0.0833,-0.25,1,20,3,1,2,1,3,1,1,1,3,2,1,3,1,3,1,3,3,1,3,1,2,2.8,1.1,4,1,3,2,3,2,1,1,4,2,2,3,1,4,2,4,4,2,3,1,3,3.4,1.7
13,2022-05-06 11:08:43,3,6,5,6,6,5,2,3,7,6,5,4,5,3,6,7,8,3,4,6,7,4,2,1,5,5,7,5,5,7,4,5,5,7,5,6,5,1,0,1.0833,0.9167,0.25,0.3333,0.3333,1,19,3,1,3,1,3,1,1,1,2,2,1,3,1,2,1,2,3,1,3,1,1,2.6,1,3,1,3,1,3,1,1,1,3,1,3,4,1,3,1,2,4,1,4,1,1,3,1.2
14,2022-05-06 12:30:20,5,5,4,5,6,6,5,5,5,6,6,4,6,5,5,5,5,5,5,5,5,4,5,5,5,7,5,4,6,5,6,5,5,5,5,6,5.166666667,0,-0.1667,-0.25,0.0833,-0.6667,-0.0833,-1.0833,1,20,3,1,1,1,3,1,1,1,2,1,1,4,1,2,1,2,4,1,2,1,1,2.4,1,2,1,1,1,2,2,1,1,1,1,1,3,1,1,2,1,4,2,2,1,2,1.8,1.4
15,2022-05-06 13:35:41,4,4,7,3,7,5,2,3,4,1,4,5,6,6,7,1,5,6,3,4,5,6,8,7,6,8,3,6,5,7,1,5,5,8,8,6,5.027777778,1,-0.6667,-1.1667,-1.4167,-0.6667,-0.1667,0.0833,1,19,3,1,3,1,3,1,1,1,4,2,1,3,1,4,1,3,4,2,3,1,1,3.2,1.1,4,1,3,1,4,1,1,1,4,2,1,4,1,3,1,3,5,2,4,1,1,3.6,1.1
17,2022-05-09 11:42:33,5,6,7,6,2,8,3,4,1,6,5,4,4,7,5,7,7,4,3,6,5,5,3,7,4,3,8,5,5,6,6,7,2,7,8,1,5.055555556,1,0,-0.4167,-0.3333,-0.5833,0,-0.3333,1,19,4,1,2,1,1,2,1,1,3,1,3,2,2,2,1,3,3,2,2,1,3,2.3,1.7,3,2,3,2,2,2,1,1,3,2,1,3,2,3,3,2,4,3,2,1,3,2.7,2
18,2022-05-09 13:20:21,4,3,6,3,3,6,4,5,2,7,3,7,8,5,6,3,4,5,4,5,7,7,7,7,1,2,4,7,7,6,6,6,7,6,8,5,5.166666667,1,-0.8333,0.9167,-0.5,0,1.5833,-0.75,1,19,4,1,3,1,4,1,1,1,3,3,1,4,1,4,2,4,4,1,4,1,1,3.7,1.1,4,1,4,1,4,1,1,2,4,3,1,4,1,4,2,4,4,2,4,2,2,3.9,1.4
9,2022-05-05 11:11:12,4,5,3,5,7,6,5,5,6,3,5,6,7,4,5,6,3,7,5,5,5,3,3,6,2,3,5,6,5,5,4,5,6,3,7,5,4.861111111,0,0.8333,0.6667,0,0,0.5833,0.4167,0,21,4,2,4,2,3,2,2,1,3,3,2,3,1,3,4,3,3,3,3,1,3,3.2,2.2,3,3,2,2,3,3,2,1,2,3,3,3,1,3,2,3,3,2,3,1,3,2.8,2.2
