ID,Phys1A,pre.fmce,final.Exam,Percentile
1,1,NA,67,67
2,0,NA,71,70
3,1,7,42,77
4,1,NA,56,77
5,0,32,54,77
6,0,10,35,79
7,1,12,64,82
8,0,22,74,82
9,1,7,47,82
10,1,12,68,82
11,1,8,48,85
12,0,11,72,85
13,0,33,87,85
14,1,18,66,87
15,1,38,65,87
16,0,14,62,87
17,1,10,54,89
18,0,31,68,89
19,0,45,65,89
20,0,21,63,89
21,1,9,69,89
22,0,40,75,89
23,1,18,62,91
24,0,23,63,91
25,1,13,54,91
26,1,10,64,91
27,0,8,59,91
28,0,27,68,91
29,1,11,50,91
30,1,17,67,91
31,0,11,66,91
32,1,28,54,92
33,0,20,44,92
34,0,22,63,92
35,1,13,58,92
36,1,21,70,92
37,0,6,35,92
38,0,28,94,92
39,0,21,66,92
40,0,NA,85,92
41,1,20,75,92
42,0,14,33,92
43,0,34,76.5,92
44,0,11,84,92
45,1,26,82,92
46,0,18,68,92
47,0,21,52,92
48,1,11,66,94
49,0,17,41,94
50,1,14,46,94
51,1,14,62,94
52,0,31,88,94
53,0,16,52,94
54,0,21,75,94
55,0,13,72,94
56,0,29,82,94
57,0,12,71,94
58,0,23,84,94
59,0,23,63.5,94
60,0,NA,76,94
61,1,10,68,94
62,1,7,68,94
63,1,16,66,94
64,0,15,57,94
65,0,29,71,94
66,0,11,73,94
67,0,12,80,94
68,0,12,68,95
69,0,12,48,95
70,0,25,69,95
71,1,22,75,95
72,0,8,39,95
73,1,27,42,95
74,1,11,57,95
75,1,41,65,95
76,1,25,84,95
77,0,37,91,95
78,0,10,52,95
79,1,8,45,95
80,0,NA,56,95
81,0,47,85,95
82,0,34,77,95
83,0,39,82,95
84,0,10,63,95
85,1,25,81,95
86,0,47,92,95
87,0,39,71,96
88,1,23,71,96
89,0,26,83,96
90,0,12,41,96
91,0,40,66,96
92,0,15,88,96
93,0,11,66,96
94,0,22,61,96
95,0,14,80,96
96,0,45,69,96
97,0,46,73,96
98,0,37,87,96
99,0,25,54,96
100,1,37,71,96
101,0,NA,61,96
102,0,42,82,96
103,1,8,65,96
104,0,32,90,96
105,0,39,94,96
106,0,31,66,96
107,0,9,89,96
108,1,14,73,96
109,0,11,66,96
110,0,7,72,97
111,1,15,71,97
112,0,22,63,97
113,0,45,83,97
114,0,23,NA,97
115,0,29,75,97
116,0,37,62,97
117,0,3,81,97
118,0,46,64,97
119,0,37,96,97
120,0,45,86,97
121,0,18,44,97
122,0,43,62,97
123,0,46,91,97
124,1,4,58,97
125,0,21,72,97
126,1,NA,46,97
127,1,NA,56,97
128,0,19,60,97
129,0,46,75,97
130,1,11,63,97
131,0,40,63,97
132,0,17,64,97
133,0,41,76,97
134,1,15,49,98
135,0,24,50,98
136,0,46,81,98
137,0,17,85,98
138,0,24,71,98
139,0,24,60,98
140,0,40,85,98
141,0,39,64,98
142,0,12,67,98
143,0,19,59,98
144,0,23,71,98
145,0,18,79,98
146,0,19,66,98
147,0,46,90,98
148,0,47,82,98
149,0,45,79,98
150,0,44,84,98
151,0,40,86,98
152,0,15,76,98
153,0,30,85,98
154,0,27,85,98
155,0,39,83,98
156,0,44,100,98
157,0,39,93,98
158,0,40,75,98
159,0,14,58,98
160,0,28,65,98
161,0,27,84,98
162,0,23,58,98
163,0,17,77,98
164,0,18,55,98
165,0,11,68,98
166,0,46,75,98
167,1,14,88,98
168,0,NA,59,98
169,0,NA,72,98
170,0,NA,74,98
171,0,19,66,98
172,1,30,86,98
173,0,20,74,98
174,0,23,79,98
175,0,16,73,98
176,0,37,91,98
177,0,47,95,98
178,0,22,75,98
179,0,12,76,99
180,0,38,84,99
181,0,32,56,99
182,1,11,57,99
183,0,34,81,99
184,0,31,78,99
185,0,29,81,99
186,0,7,62,99
187,1,20,96,99
188,0,47,99,99
189,0,43,90,99
190,0,34,86,99
191,0,22,66,99
192,0,33,90,99
193,0,19,75,99
194,0,10,69,99
195,0,45,78,99
196,0,42,84,99
197,0,46,90,99
198,0,33,81,99
199,0,23,64,99
200,0,35,68,99
201,0,36,92,99
202,1,20,88,99
203,0,15,79,99
204,1,19,72,99
205,0,26,80,99
206,0,27,79,99
207,0,33,84,99
208,0,44,92,99
209,1,10,62,99
210,0,32,76,99
211,0,NA,73,99
212,0,47,85,99
213,0,28,83,99
214,0,44,87,99
215,0,38,81,99
216,0,45,92,99
217,1,29,70,99
218,0,34,71,99
219,1,7,89,99
220,0,28,63,99
221,0,24,60,99
