ID,Freshmen,Percentile,Phys1A,FinalExam,preFMCE
1,0,95,0,70,4
2,0,100,1,54,41
3,0,94,0,90,38
4,0,96,0,NA,NA
5,0,98,0,85,41
6,0,100,0,83,45
7,0,94,1,70,12
8,0,100,0,57,24
9,0,92,0,75,NA
10,0,94,1,74,19
11,0,96,0,53,12
12,0,98,0,98,34
13,0,98,0,79,14
14,0,92,0,76,19
15,0,89,0,76.5,17
16,0,86,0,66,10
17,0,97,0,77,9
18,0,100,0,73,NA
19,0,93,0,45,14
20,0,88,1,74,NA
21,0,100,0,53,NA
22,0,96,0,71,15
23,0,96,0,70,10
24,0,53,1,35,8
25,0,81,1,70,7
26,0,98,0,73,NA
27,0,100,0,59,NA
28,0,98,0,99,38
29,0,100,0,96.5,47
30,0,97,0,84,39
31,0,73,0,NA,NA
32,0,75,1,29,10
33,0,93,0,92,17
34,0,91,0,89,NA
35,0,97,0,94,39
36,0,92,0,NA,NA
37,0,100,0,85,13
38,0,89,0,48,28
39,0,100,0,87,35
40,0,96,0,70,38
41,0,98,0,89,40
42,0,97,0,83,14
43,0,86,0,62,17
44,0,98,0,99,34
45,0,100,0,95,46
46,0,83,0,37,NA
47,0,89,0,35,9
48,0,95,0,81,26
49,0,100,0,90,27
50,0,96,0,78,12
51,0,100,0,NA,NA
52,0,95,1,96,32
53,0,88,0,61,20
54,0,93,1,46,5
55,0,98,0,95,45
56,0,100,1,80,13
57,0,85,0,50,13
58,0,96,0,95,43
59,0,86,1,72.5,9
60,0,97,0,73,NA
61,0,98,0,80,8
62,0,89,1,83,13
63,0,98,0,65,16
64,0,100,0,90,18
65,1,100,0,98,24
66,0,100,0,94.5,NA
67,0,92,0,62,NA
68,0,83,1,77,13
69,0,91,0,91,19
70,0,72,0,63,11
71,0,97,0,74,35
72,0,100,0,70,38
73,0,81,1,17,9
74,0,95,0,90,13
75,1,94,1,83,9
76,0,98,0,85,NA
77,0,100,0,71,32
78,0,98,0,76,8
79,1,96,0,NA,NA
80,0,89,1,58,7
81,0,86,1,68,9
82,0,93,1,45,10
83,0,90,1,62,4
84,0,89,0,42,13
85,0,82,0,53,7
86,0,72,0,51,14
87,0,79,0,49,9
88,0,94,0,84.5,12
89,0,97,0,95,37
90,0,98,0,89,35
