,Phys1A,Phys2A,Phys1Final,fmce_pre,Phys2Final,csem_pre,VectorCalcPrior,Percentile,Freshmen,MC,FR
1,0,0,NA,NA,34,19,1,NA,0,16,36
2,0,0,NA,NA,13.5,6,0,NA,0,10,7
3,0,0,NA,NA,32.5,9,1,NA,0,15,35
4,0,0,NA,NA,8,6,1,NA,0,8,0
6,0,0,NA,NA,35.5,24,1,NA,0,17,37
7,0,0,NA,NA,13.5,7,0,NA,0,6,15
8,0,0,NA,NA,27.5,9,1,NA,0,13,29
9,0,0,NA,NA,13,0,0,NA,0,12,2
10,0,0,NA,NA,35,16,1,NA,0,18,34
11,0,0,NA,NA,39,NA,NA,NA,0,19,40
12,0,0,NA,NA,29.5,NA,NA,NA,0,12,35
13,0,0,NA,NA,36.5,NA,NA,NA,0,19,35
14,0,0,0.93,39,37.5,14,1,98,1,19,37
15,0,0,0.89,9,33.5,9,1,96,1,16,35
16,0,0,NA,NA,25,12,1,NA,0,11,28
17,0,0,NA,NA,26,NA,NA,NA,0,13,26
18,0,0,0.7,24,27,13,1,NA,1,14,26
19,0,0,NA,NA,25,0,1,NA,0,12,26
20,0,0,NA,NA,20.5,7,1,NA,0,11,19
21,0,0,NA,NA,24.5,NA,NA,NA,0,12,25
22,0,0,NA,NA,22,11,1,NA,0,14,16
24,0,0,NA,NA,19.5,6,1,NA,0,11,17
25,0,0,NA,NA,21,12,1,NA,0,13,16
26,0,0,NA,NA,29,NA,NA,NA,0,14,30
27,0,0,NA,NA,27,18,1,NA,0,10,34
28,0,0,NA,NA,37.5,24,1,NA,0,18,39
29,0,0,0.79,15,32.5,10,0,99,1,15,35
30,0,0,0.68,11,28,7,1,98,1,12,32
31,0,0,NA,NA,20.5,0,1,NA,0,12,17
32,0,0,NA,NA,28.5,0,1,NA,0,12,33
33,0,0,NA,NA,23,8,1,NA,0,9,28
34,0,0,NA,NA,37,17,1,NA,0,19,36
35,0,0,NA,NA,19.5,0,0,NA,0,10,19
36,0,0,NA,NA,37,0,1,NA,0,18,38
37,0,0,NA,NA,36.5,19,1,NA,0,19,35
38,0,0,0.66,19,34.5,13,1,98,1,18,33
39,0,0,0.75,40,36,NA,NA,89,1,17,38
40,0,0,NA,NA,27,8,1,NA,0,12,30
41,0,0,0.92,44,38.5,23,1,99,1,20,37
42,0,0,0.56,NA,15,NA,NA,100,1,10,10
43,0,0,NA,NA,16.5,15,1,NA,0,8,17
44,0,0,0.92,47,37.5,21,1,95,1,19,37
45,0,0,NA,NA,39,23,1,NA,0,19,40
46,0,0,0.955,46,37.5,18,1,100,1,18,39
47,0,0,0.85,25,35,15,1,100,1,17,36
48,0,0,NA,NA,37,13,1,NA,0,20,34
49,0,0,0.59,8,31.5,10,1,91,1,16,31
50,0,0,NA,NA,27.5,8,1,NA,0,10,35
51,0,0,NA,NA,21,NA,NA,NA,0,9,24
52,0,0,0.96,47,40,18,1,100,1,20,40
53,0,0,NA,NA,16.25,9,1,NA,0,7,18.5
54,0,0,NA,NA,27,10,1,NA,0,11,32
55,0,0,NA,NA,39,12,1,NA,0,19,40
56,0,1,NA,NA,34.5,10,1,NA,0,17,35
57,0,0,NA,NA,30.5,11,1,NA,0,14,33
58,0,0,0.69,34,35,21,1,100,1,18,34
59,0,0,NA,NA,27,14,1,NA,0,13,28
60,0,0,NA,NA,38.5,16,1,NA,0,19,39
61,0,0,NA,NA,29,15,1,NA,0,14,30
62,0,0,0.9,32,23.5,11,1,96,1,15,17
63,0,0,NA,NA,32,17,1,NA,0,14,36
64,0,0,NA,NA,30.5,15,1,NA,0,12,37
65,0,0,NA,NA,36.5,12,1,NA,0,20,33
66,0,0,NA,NA,34.5,NA,NA,NA,0,17,35
67,0,0,NA,NA,34,9,1,NA,0,17,34
68,0,0,NA,NA,27.5,NA,NA,NA,0,13,29
69,0,0,0.74,22,32,17,1,NA,1,15,34
71,0,0,0.62,7,34.5,NA,NA,99,1,18,33
72,0,0,NA,NA,24,15,1,NA,0,10,28
73,0,0,0.89,13,31.5,9,0,NA,1,15,33
74,2,1,0.5,11,33.5,9,1,91,1,16,35
75,0,0,0.75,22,33.5,7,1,98,1,16,35
76,0,0,0.78,31,31,10,1,99,1,14,34
77,0,0,NA,NA,37,8,1,NA,0,18,38
78,0,0,NA,NA,33.5,NA,NA,NA,0,17,33
79,0,0,0.56,NA,27,12,1,95,1,16,22
80,2,1,0.54,10,28,8,1,89,1,12,32
81,0,0,0.67,20,27,15,1,100,1,13,28
82,0,0,0.83,17,31,7,1,100,1,16,30
83,0,0,NA,NA,27,11,1,NA,0,13,28
84,0,0,NA,NA,32.5,NA,NA,NA,0,15,35
85,0,0,0.89,28,34.5,21,1,NA,1,17,35
86,0,0,0.85,39,33,15,1,100,1,17,32
87,0,0,0.79,30,31.5,11,1,100,1,15,33
88,0,0,NA,NA,37.5,16,1,NA,0,19,37
89,0,0,NA,NA,31.5,12,1,NA,0,14,35
90,2,0,0.75,22,22.5,11,1,95,1,9,27
91,0,0,NA,NA,34.5,0,1,NA,0,17,35
92,0,0,NA,NA,17.5,7,0,NA,0,9,17
93,0,0,0.39,8,11.5,2,0,95,1,10,3
94,0,0,0.9,24,31,6,1,100,1,17,28
95,0,0,NA,NA,30.5,18,1,NA,0,15,31
96,0,0,0.815,NA,34.5,21,1,100,1,17,35
97,0,0,NA,NA,31.5,11,1,NA,0,15,33
98,0,0,NA,NA,35,0,1,NA,0,17,36
99,0,0,0.8,22,29.75,21,1,100,1,15,29.5
100,0,0,0.68,21,27.5,14,1,NA,1,12,31
101,0,0,0.83,47,36.5,17,1,100,1,19,35
102,0,0,NA,NA,34,20,1,NA,0,17,34
103,0,0,0.6,24,17,8,1,99,1,7,20
104,0,0,0.61,22,27,9,1,96,1,12,30
105,0,0,NA,NA,36,9,1,NA,0,18,36
106,0,0,0.76,12,27,14,1,99,1,13,28
107,0,0,0.66,11,23.75,12,1,91,1,9,29.5
108,0,0,NA,NA,27.5,8,1,NA,0,13,29
109,0,0,0.52,16,22,14,0,94,1,10,24
110,0,0,0.82,13,32.5,7,0,100,1,16,33
111,0,0,0.73,40,35,17,1,100,1,17,36
112,0,0,0.6,7,16,7,0,NA,1,10,12
113,0,0,NA,NA,18,12,0,NA,0,8,20
114,0,0,NA,NA,20,NA,NA,NA,0,10,20
115,0,0,NA,NA,31.5,23,1,NA,0,13,37
116,0,0,0.81,11,35,13,1,100,1,17,36
117,0,0,0.77,25,37,8,1,NA,1,19,36
118,0,0,1,37,39,21,1,NA,1,20,38
119,0,0,NA,NA,36.5,19,1,NA,0,18,37
120,0,0,NA,NA,35.5,10,1,NA,0,18,35
121,0,0,0.96,31,39.5,18,1,100,1,20,39
122,0,0,NA,NA,36.5,28,1,NA,0,17,39
123,1,0,0.57,15,32.5,13,1,NA,1,16,33
124,0,0,0.85,40,36.5,17,1,98,1,18,37
125,1,0,0.62,10,23,7,1,99,1,10,26
126,0,0,NA,NA,32.5,14,0,NA,0,18,29
127,0,0,NA,NA,30,17,1,NA,0,14,32
128,0,1,NA,NA,22,8,0,NA,0,10,24
129,0,0,0.81,39,37.5,16,1,100,1,19,37
130,0,0,0.88,31,34,19,1,94,1,16,36
131,0,0,0.81,36,37.5,19,1,100,1,19,37
132,0,0,0.73,28,34,14,1,100,1,17,34
133,0,0,NA,NA,21.5,17,1,NA,0,13,17
135,0,0,0.73,24,34.5,5,0,100,1,16,37
136,0,1,NA,NA,34.5,12,1,NA,0,17,35
137,0,0,0.94,15,40,13,1,100,1,20,40
138,0,0,0.54,12,19,0,1,NA,1,10,18
139,0,0,NA,NA,22,9,1,NA,0,10,24
