ID,Phys2Final,csem_pre,fmce_pre,Phys1Final,Percentile,Phys2A,VectorCalcPrior,Phys1A,Freshmen,MC,FR
232,66,NA,NA,NA,NA,0,0,0,0,28,38
396,75,20,NA,NA,NA,0,1,0,0,36,39
417,67,NA,NA,NA,NA,0,0,0,0,32,35
454,NA,11,NA,NA,NA,0,1,0,0,0,0
394,61.5,6,NA,NA,NA,0,1,0,0,34,27.5
180,51.5,NA,NA,NA,NA,0,0,0,0,20,31.5
457,NA,NA,NA,NA,NA,0,0,0,0,0,0
333,60.5,NA,NA,NA,NA,0,0,0,0,28,32.5
320,53,NA,NA,NA,NA,0,0,0,0,28,25
200,73.5,14,41,85,98,1,1,0,0,36,37.5
163,59.5,14,NA,NA,NA,0,1,0,0,30,29.5
120,48.5,4,NA,NA,NA,0,1,0,0,24,24.5
359,70,10,NA,NA,NA,0,1,0,0,36,34
166,75,20,NA,NA,NA,0,1,0,0,38,37
147,41.5,8,NA,NA,NA,0,1,0,0,20,21.5
106,39.5,9,NA,NA,NA,0,1,0,0,26,13.5
71,70,17,45,83,100,0,1,0,0,34,36
12,64.5,10,12,70,94,1,1,1,0,28,36.5
419,59.5,NA,NA,75,92,0,0,0,0,26,33.5
264,54.5,6,NA,NA,NA,1,1,0,0,28,26.5
187,71,6,NA,NA,NA,0,1,0,0,36,35
403,64.5,15,NA,NA,NA,0,1,0,0,32,32.5
36,71.5,11,34,98,98,0,1,0,0,36,35.5
321,54,10,NA,NA,NA,0,1,0,0,26,28
286,63.5,13,NA,NA,NA,0,1,0,0,32,31.5
118,66,0,NA,NA,NA,0,1,0,0,32,34
150,60,12,10,66,86,0,1,0,0,32,28
270,66.5,13,NA,NA,NA,0,1,0,0,34,32.5
204,72,7,9,77,97,0,1,0,0,36,36
354,38,2,14,45,93,0,1,0,0,28,10
265,74,NA,NA,74,88,1,0,1,0,40,34
195,55.5,9,NA,53,100,0,1,0,0,28,27.5
355,56,12,NA,NA,NA,0,1,0,0,28,28
285,62,4,10,70,96,0,1,0,0,34,28
75,76,10,NA,NA,NA,0,1,0,0,40,36
426,63.5,9,NA,NA,NA,0,1,0,0,30,33.5
448,NA,7,NA,NA,NA,0,1,0,0,0,0
274,52.5,7,7,70,81,1,0,1,0,28,24.5
117,45,NA,NA,NA,NA,0,0,0,0,30,15
115,62,NA,NA,NA,NA,0,0,0,0,30,32
380,54,16,NA,59,100,0,1,0,0,28,26
319,39,12,NA,NA,NA,0,0,0,0,24,15
393,73,13,47,96.5,100,0,1,0,0,36,37
212,72.5,17,39,84,97,0,1,0,0,36,36.5
283,70,NA,NA,NA,NA,0,0,0,0,34,36
314,79,21,NA,NA,NA,0,1,0,0,40,39
100,78,18,17,92,93,0,1,0,0,38,40
399,77.5,17,39,94,97,0,1,0,0,38,39.5
63,69.5,8,NA,NA,NA,0,1,0,0,36,33.5
250,73.5,16,NA,NA,NA,0,1,0,0,40,33.5
345,61,8,NA,NA,NA,0,1,0,0,30,31
139,63,0,NA,NA,NA,0,0,0,0,34,29
240,42,12,28,48,89,1,1,0,0,24,18
317,56,NA,38,70,96,0,0,0,0,30,26
190,62.5,12,NA,NA,NA,0,1,0,0,28,34.5
246,78.5,15,40,89,98,0,1,0,0,40,38.5
266,73.5,12,NA,NA,NA,0,1,0,0,36,37.5
407,62,7,NA,NA,NA,0,1,0,0,32,30
308,63,14,NA,NA,NA,0,1,0,0,32,31
101,57,9,17,62,86,0,1,0,0,30,27
415,70.5,16,NA,NA,NA,0,1,0,0,34,36.5
65,78.5,23,34,99,98,0,1,0,0,40,38.5
233,67.5,9,NA,NA,NA,0,1,0,0,34,33.5
334,66.5,15,NA,NA,NA,0,1,0,0,32,34.5
386,60,16,NA,NA,NA,0,1,0,0,30,30
55,64,11,NA,NA,NA,0,1,0,0,34,30
248,79.5,29,46,95,100,0,1,0,0,40,39.5
170,38.5,NA,NA,37,83,0,0,0,0,18,20.5
284,78,18,NA,NA,NA,0,1,0,0,38,40
231,70.5,13,NA,NA,NA,0,1,0,0,34,36.5
358,75,17,27,90,100,0,1,0,0,36,39
338,56,11,NA,NA,NA,0,1,0,0,22,34
447,64,10,12,78,96,0,1,0,0,32,32
225,63.5,14,NA,NA,NA,0,1,0,0,28,35.5
61,75.5,11,32,96,95,0,0,1,0,38,37.5
131,48.5,9,20,61,88,0,1,0,0,28,20.5
382,79.5,13,NA,NA,NA,0,1,0,0,40,39.5
247,73,9,13,80,100,0,1,1,0,36,37
433,69.5,15,43,95,96,0,1,0,0,30,39.5
437,36.5,10,NA,NA,NA,0,1,0,0,22,14.5
444,62.5,9,NA,73,97,0,1,0,0,28,34.5
381,67,8,NA,NA,NA,0,1,0,0,32,35
445,65,7,NA,NA,NA,0,1,0,0,30,35
224,68,15,NA,NA,NA,0,1,0,0,36,32
357,75.5,8,18,90,100,1,1,0,0,38,37.5
365,79,13,24,98,100,0,0,0,1,40,39
302,74.5,8,NA,94.5,100,0,1,0,0,36,38.5
342,66.5,4,13,77,83,1,0,1,0,34,32.5
327,73,24,NA,NA,NA,0,1,0,0,36,37
80,74.5,10,19,91,91,0,1,0,0,38,36.5
451,NA,4,NA,NA,NA,0,1,0,0,0,0
449,NA,7,11,63,72,0,1,0,0,0,0
375,50,23,35,74,97,0,1,0,0,24,26
122,35,6,NA,NA,NA,0,1,0,0,24,11
135,64.5,15,NA,NA,NA,0,1,0,0,32,32.5
132,72.5,NA,38,70,100,0,0,0,0,38,34.5
17,79.5,25,NA,NA,NA,0,1,0,0,40,39.5
155,57,4,9,83,94,1,0,1,1,30,27
364,61.5,16,NA,85,98,0,1,0,0,30,31.5
438,68.5,NA,NA,NA,NA,0,0,0,0,36,32.5
340,61.5,7,32,71,100,0,1,0,0,26,35.5
295,37.5,14,8,76,98,0,1,0,0,22,15.5
402,62.5,6,9,68,86,1,1,1,0,32,30.5
176,36.5,5,10,45,93,1,0,1,0,26,10.5
66,35,NA,NA,NA,NA,0,0,0,0,18,17
281,66.5,11,NA,NA,NA,0,1,0,0,34,32.5
388,28,7,7,53,82,0,0,0,0,14,14
420,43.5,7,14,51,72,0,1,0,0,24,19.5
238,73.5,14,NA,NA,NA,0,0,0,0,34,39.5
239,40.5,8,9,49,79,0,0,0,0,22,18.5
390,58,10,12,84.5,94,0,1,0,0,28,30
