GENDER	AGE	PT1	LT1	STEP1	TT1	RESULT1	PT2	LT2	STEP2	TT2	RESULT2	PT3	LT3	STEP3	TT3	RESULT3	PT4	LT4	STEP4	TT4	RESULT4	PT5	LT5	STEP5	TT5	RESULT5	PT6	LT6	STEP6	TT6	RESULT6	PT7	LT7	STEP7	TT7	RESULT7	PT8	LT8	STEP8	TT8	RESULT8	PT9	LT9	STEP9	TT9	RESULT9	PT10	LT10	STEP10	TT10	RESULT10
1	21	20531	23500	48	42265	1	14328	14922	17	18875	1	13875	15578	22	22938	1	9297	10406	29	19766	1	18234	26406	42	34641	1	25343	27000	23	32312	1	21406	34781	45	47312	1	33109	34297	39	46625	1	6016	53656	44	72406	1	26766	31172	48	46969	1
1	20.42	159438	161281	45	196781	1	36766	37719	17	42188	1	54219	55984	20	64594	1	29328	30469	27	40922	1	15812	21094	42	29328	1	49734	51953	23	58516	1	33516	37984	36	47797	1	19750	21313	39	34281	1	67843	73093	46	93359	1	35125	36891	46	54422	1
0	20.92	12172	19390	46	38547	1	19188	25156	17	29813	1	14094	20016	22	27734	1	25016	30766	27	42157	1	40422	46735	42	57266	1	25984	28406	27	40437	1	31125	35375	29	48750	1	28859	31062	39	46468	1	27046	28671	44	53484	1	20938	22766	46	65875	1
1	22.42	7734	8594	46	27594	1	15406	16016	17	18938	1	10234	11141	20	15031	1	9375	10000	27	16125	1	7265	10906	42	17422	1	39203	40563	25	44985	1	14641	17438	49	28016	1	6578	7547	39	16953	1	15359	16406	46	29250	1	14859	16156	47	28484	1
1	21.08	14156	16140	45	41984	1	16688	22203	17	25360	1	15093	16765	20	22765	1	7484	12422	27	20187	1	75110	83219	42	92500	1	18406	23265	23	29812	1	24500	35656	49	67219	1	13985	32047	33	54672	1	11766	17344	44	39172	1	39546	51406	46	64421	1
1	20.92	20969	24125	46	38203	1	16500	17235	17	22500	1	10219	11750	22	16406	1	9781	10500	29	18484	1	20516	24891	42	31469	1	21172	23203	23	27140	1	17359	21328	36	32937	1	11328	14171	39	24328	1	22719	23484	44	40234	1	32921	34218	46	46562	1
0	20.83	16422	17907	46	44016	1	13875	20078	17	25000	1	19922	21704	22	31704	1	20969	22375	27	33610	1	20297	26016	44	36297	1	13360	17360	23	27000	1	16985	22985	47	37625	1	10422	11812	39	25593	1	38110	39297	46	59047	1	70656	74843	47	98015	1
0	20.67	32188	35250	46	67485	1	14188	15063	17	20110	1	22234	25812	20	32047	1	6610	20578	27	29563	1	19093	25703	42	36468	1	12938	28297	31	42094	1	21734	47265	50	71000	1	6437	23109	39	35750	1	8329	9422	46	26000	1	11984	14187	46	32515	1
0	20.67	56391	58531	46	89281	1	39828	42281	17	48015	1	22500	23859	22	32453	1	29719	31281	27	45469	1	50250	62532	42	78797	1	30594	33141	23	42766	1	68094	74578	49	126609	1	53515	55375	39	107281	1	93859	101406	44	132000	1	48078	51203	46	118922	1
1	21.33	6375	7297	52	22282	1	13547	14265	17	18109	1	6484	32687	22	37344	1	5516	6078	27	11969	1	5281	9593	42	19281	1	5828	8219	25	12875	1	8828	13156	38	20921	1	6797	10235	39	20391	1	3438	9860	80	48110	1	6922	16094	50	33579	1
1	22.58	5704	8094	48	25141	1	22828	23843	17	28625	1	10000	11563	20	18000	1	11032	12000	29	21297	1	5735	13829	44	23922	1	5844	8829	25	16672	1	22313	26031	36	38094	1	7984	9563	43	27625	1	10562	11718	48	28250	1	9172	10813	46	26485	1
1	20.5	34781	40515	46	54875	1	15281	17610	17	21031	1	6437	9437	22	15281	1	14016	16312	29	23406	1	2953	7906	42	14609	1	5282	11157	23	15875	1	10828	15734	38	24765	1	14672	19969	39	29250	1	24140	27546	46	43718	1	6141	35813	50	49438	1
0	20.67	18937	20156	52	34531	1	13547	14297	17	18359	1	4672	6985	22	15531	1	66109	128078	35	135218	1	6188	12844	56	29985	1	50703	89813	39	99969	1	4250	19343	69	33046	1	3016	96360	43	113531	1	9156	15078	70	148719	1	11703	13797	46	34828	1
0	20.67	12938	14594	46	34922	1	19468	21531	17	27437	1	9016	10954	24	20782	1	11062	12547	33	27984	1	44188	50969	42	63859	1	20000	23562	23	32046	1	9875	15703	36	31344	1	7594	9328	39	25578	1	13172	15828	44	49469	1	14156	16296	46	35781	1
0	20.5	10844	13250	46	39860	1	43750	44672	17	52984	1	8313	10406	20	17953	1	6610	8907	27	18328	1	10172	18266	42	31016	1	20625	22906	23	30141	1	15954	22407	51	45985	1	9703	11969	39	28547	1	7563	125610	70	169563	1	49703	52313	46	75281	1
0	18.83	17610	45406	45	103985	1	32547	34859	17	42344	1	52781	54781	22	105984	1	50344	54672	27	70937	1	60922	69172	42	89922	1	44328	48031	23	61391	1	47734	52750	45	86781	1	25875	29906	41	75938	1	73218	74718	46	127625	1	55703	57875	46	103937	1
1	21.08	68454	71688	45	212594	1	68797	70359	17	78359	1	45016	46797	20	69141	1	16235	17719	27	31844	1	140344	155187	42	172187	1	104141	106594	23	116844	1	138609	144344	38	167172	1	61406	65500	41	147797	1	39094	40906	46	65141	1	85938	88375	48	213250	1
