"GENDER" "AGE" "PT1" "LT1" "STEP1" "TT1" "RESULT1" "PT2" "LT2" "STEP2" "TT2" "RESULT2" "PT3" "LT3" "STEP3" "TT3" "RESULT3" "PT4" "LT4" "STEP4" "TT4" "RESULT4" "PT5" "LT5" "STEP5" "TT5" "RESULT5" "PT6" "LT6" "STEP6" "TT6" "RESULT6" "PT7" "LT7" "STEP7" "TT7" "RESULT7" "PT8" "LT8" "STEP8" "TT8" "RESULT8" "PT9" "LT9" "STEP9" "TT9" "RESULT9" "PT10" "LT10" "STEP10" "TT10" "RESULT10"
"1" 0 20.917 114188 118938 46 154469 1 62984 69062 17 74765 1 121890 129906 20 138797 1 31672 33812 27 46515 1 40172 94703 12 189390 0 67703 87609 23 95515 1 90109 93547 29 102422 1 51921 53828 39 73046 1 40796 42359 44 64906 1 54219 58344 46 107266 1
"2" 1 21 20531 23500 48 42265 1 14328 14922 17 18875 1 13875 15578 22 22938 1 9297 10406 29 19766 1 18234 26406 42 34641 1 25343 27000 23 32312 1 21406 34781 45 47312 1 33109 34297 39 46625 1 6016 53656 44 72406 1 26766 31172 48 46969 1
"3" 0 20.833 2032 29828 52 52828 1 38375 40766 17 45188 1 6031 7531 26 17297 1 11719 12782 27 20516 1 5969 10234 26 28422 0 1562 36812 32 73781 0 15265 17687 29 25750 1 9359 10438 39 28391 1 72593 74922 44 96031 1 5532 7266 48 25594 1
"4" 1 20.42 159438 161281 45 196781 1 36766 37719 17 42188 1 54219 55984 20 64594 1 29328 30469 27 40922 1 15812 21094 42 29328 1 49734 51953 23 58516 1 33516 37984 36 47797 1 19750 21313 39 34281 1 67843 73093 46 93359 1 35125 36891 46 54422 1
"5" 0 20.917 12172 19390 46 38547 1 19188 25156 17 29813 1 14094 20016 22 27734 1 25016 30766 27 42157 1 40422 46735 42 57266 1 25984 28406 27 40437 1 31125 35375 29 48750 1 28859 31062 39 46468 1 27046 28671 44 53484 1 20938 22766 46 65875 1
"6" 1 22.42 7734 8594 46 27594 1 15406 16016 17 18938 1 10234 11141 20 15031 1 9375 10000 27 16125 1 7265 10906 42 17422 1 39203 40563 25 44985 1 14641 17438 49 28016 1 6578 7547 39 16953 1 15359 16406 46 29250 1 14859 16156 47 28484 1
"7" 0 19.917 37625 44859 46 84234 1 27750 28672 17 36359 1 98187 100828 20 110375 1 21281 24266 27 44485 1 49875 65609 44 82625 1 49937 52031 20 86921 0 123672 129110 29 145844 1 7328 21219 9 43094 0 32953 42015 44 84937 1 124640 128047 46 171312 1
"8" 1 21.08 14156 16140 45 41984 1 16688 22203 17 25360 1 15093 16765 20 22765 1 7484 12422 27 20187 1 75110 83219 42 92500 1 18406 23265 23 29812 1 24500 35656 49 67219 1 13985 32047 33 54672 1 11766 17344 44 39172 1 39546 51406 46 64421 1
"9" 1 20.917 20969 24125 46 38203 1 16500 17235 17 22500 1 10219 11750 22 16406 1 9781 10500 29 18484 1 20516 24891 42 31469 1 21172 23203 23 27140 1 17359 21328 36 32937 1 11328 14171 39 24328 1 22719 23484 44 40234 1 32921 34218 46 46562 1
"10" 0 20.333 3125 8453 52 61562 1 3734 18140 27 22390 1 4375 28422 24 34547 1 2953 19875 18 37297 0 3344 20063 46 30485 1 3312 18484 23 23656 1 2688 14047 11 20000 0 2219 17141 39 26938 1 2797 10125 46 27219 1 2156 14937 56 44500 1
"11" 0 21.167 7859 9250 52 33641 1 63657 65610 19 70438 1 56625 58031 20 64547 1 8875 14031 29 28594 1 3891 13891 42 21438 1 14687 19016 23 24984 1 26500 28265 29 51922 0 15421 27625 39 37859 1 5047 6344 46 25531 1 13109 18828 17 53484 0
"12" 0 20.833 16422 17907 46 44016 1 13875 20078 17 25000 1 19922 21704 22 31704 1 20969 22375 27 33610 1 20297 26016 44 36297 1 13360 17360 23 27000 1 16985 22985 47 37625 1 10422 11812 39 25593 1 38110 39297 46 59047 1 70656 74843 47 98015 1
"13" 0 21.5 7375 8594 50 44266 1 92109 92859 17 97344 1 7015 7406 15 27078 0 28531 39594 31 50562 1 13313 20656 42 32391 1 8282 9141 18 26235 0 11813 17469 36 28719 1 69140 71500 39 87546 1 15797 17016 50 39422 1 30032 31719 46 54360 1
"14" 0 21.167 15719 19547 46 54984 1 9843 18687 17 26578 1 22219 24516 22 39047 1 44312 70468 44 126718 0 63735 216641 42 234297 1 41485 44594 25 81407 0 33109 40438 9 53359 0 6657 10047 28 37344 0 14704 17750 50 76235 1 23375 66125 18 115203 0
"15" 0 20.42 10359 11734 45 33781 1 19218 20297 17 28828 1 8922 11313 22 19063 1 22937 23953 27 38390 1 14250 27390 42 37328 1 55984 67421 35 85562 1 8235 10204 59 42735 1 5891 8250 39 70469 0 11297 16922 70 59735 1 14875 15734 22 38906 0
"16" 0 20.667 18438 19954 45 71266 1 96234 98031 17 105406 1 33953 35453 20 54187 1 17610 19375 29 37781 1 20734 50281 10 73609 0 176516 179656 23 191891 1 64063 69907 45 101188 1 17047 21563 45 76766 0 29031 30422 48 93766 1 40516 41657 14 107454 0
"17" 0 20.6668 32188 35250 46 67485 1 14188 15063 17 20110 1 22234 25812 20 32047 1 6610 20578 27 29563 1 19093 25703 42 36468 1 12938 28297 31 42094 1 21734 47265 50 71000 1 6437 23109 39 35750 1 8329 9422 46 26000 1 11984 14187 46 32515 1
"18" 0 20.917 17640 18890 48 37875 1 14093 16281 17 21156 1 7985 9703 14 25985 0 24672 34531 35 43578 1 6594 15922 42 24438 1 15485 21063 6 54860 0 9594 13078 36 23063 1 8828 10141 39 21313 1 30031 38063 46 52234 1 12656 14734 48 30047 1
"19" 0 20.667 56391 58531 46 89281 1 39828 42281 17 48015 1 22500 23859 22 32453 1 29719 31281 27 45469 1 50250 62532 42 78797 1 30594 33141 23 42766 1 68094 74578 49 126609 1 53515 55375 39 107281 1 93859 101406 44 132000 1 48078 51203 46 118922 1
"20" 1 21.333 6375 7297 52 22282 1 13547 14265 17 18109 1 6484 32687 22 37344 1 5516 6078 27 11969 1 5281 9593 42 19281 1 5828 8219 25 12875 1 8828 13156 38 20921 1 6797 10235 39 20391 1 3438 9860 80 48110 1 6922 16094 50 33579 1
"21" 0 20.08 14516 16360 58 40469 1 108063 108906 19 114828 1 22813 24360 22 31532 1 18328 19656 27 29125 1 94625 100329 44 110063 1 21328 25875 23 32516 1 20813 75672 57 89328 1 9937 11125 17 43343 0 16719 18094 46 37469 1 28671 30515 46 51015 1
"22" 1 22.583 5704 8094 48 25141 1 22828 23843 17 28625 1 10000 11563 20 18000 1 11032 12000 29 21297 1 5735 13829 44 23922 1 5844 8829 25 16672 1 22313 26031 36 38094 1 7984 9563 43 27625 1 10562 11718 48 28250 1 9172 10813 46 26485 1
"23" 1 22 1891 3313 45 20360 1 10172 11235 23 19703 1 3047 6078 20 13219 1 5828 8859 27 18312 1 1062 10531 44 20578 1 8937 10515 23 17297 1 9750 16437 38 30406 1 2218 3671 39 18218 1 6891 8406 8 23422 0 3969 6657 46 23407 1
"24" 1 20.5 34781 40515 46 54875 1 15281 17610 17 21031 1 6437 9437 22 15281 1 14016 16312 29 23406 1 2953 7906 42 14609 1 5282 11157 23 15875 1 10828 15734 38 24765 1 14672 19969 39 29250 1 24140 27546 46 43718 1 6141 35813 50 49438 1
"25" 0 20.6668 18937 20156 52 34531 1 13547 14297 17 18359 1 4672 6985 22 15531 1 66109 128078 35 135218 1 6188 12844 56 29985 1 50703 89813 39 99969 1 4250 19343 69 33046 1 3016 96360 43 113531 1 9156 15078 70 148719 1 11703 13797 46 34828 1
"26" 0 20.667 12938 14594 46 34922 1 19468 21531 17 27437 1 9016 10954 24 20782 1 11062 12547 33 27984 1 44188 50969 42 63859 1 20000 23562 23 32046 1 9875 15703 36 31344 1 7594 9328 39 25578 1 13172 15828 44 49469 1 14156 16296 46 35781 1
"27" 0 20.5 10844 13250 46 39860 1 43750 44672 17 52984 1 8313 10406 20 17953 1 6610 8907 27 18328 1 10172 18266 42 31016 1 20625 22906 23 30141 1 15954 22407 51 45985 1 9703 11969 39 28547 1 7563 125610 70 169563 1 49703 52313 46 75281 1
"28" 0 20.42 3953 5250 46 22125 1 5282 14313 19 20454 1 3110 6641 20 13094 1 7954 8985 29 18938 1 6203 13406 28 30437 0 5579 7297 23 14657 1 5500 8421 31 22984 1 9031 13125 43 29609 1 9094 10860 46 29094 1 12141 13641 48 33813 1
"29" 0 18.833 17610 45406 45 103985 1 32547 34859 17 42344 1 52781 54781 22 105984 1 50344 54672 27 70937 1 60922 69172 42 89922 1 44328 48031 23 61391 1 47734 52750 45 86781 1 25875 29906 41 75938 1 73218 74718 46 127625 1 55703 57875 46 103937 1
"30" 0 19.917 6000 7344 46 27141 1 14969 19297 17 22891 1 7094 8172 20 13672 1 16625 17766 27 27969 1 8078 15062 17 46703 0 10360 33063 23 39375 1 23968 30390 45 47656 1 6062 10312 39 33234 1 4156 13609 46 34812 1 8875 10219 46 24360 1
"31" 0 19.667 42250 45750 45 91375 1 1609 3937 49 84203 1 22844 23735 18 55469 0 14703 17891 29 33109 1 151344 159469 24 214032 0 4469 32188 23 40719 1 25015 51406 36 64812 1 19344 22125 39 43734 1 84391 86063 46 110781 1 36063 39266 11 72984 0
"32" 1 21.08 68454 71688 45 212594 1 68797 70359 17 78359 1 45016 46797 20 69141 1 16235 17719 27 31844 1 140344 155187 42 172187 1 104141 106594 23 116844 1 138609 144344 38 167172 1 61406 65500 41 147797 1 39094 40906 46 65141 1 85938 88375 48 213250 1
"33" 0 20.333 8797 9906 46 22266 1 7765 8625 17 12593 1 8953 11657 20 16688 1 6953 7890 27 14890 1 4969 11875 42 19891 1 1922 7531 23 12812 1 4610 21828 48 30953 1 3000 5875 39 24516 1 10859 12078 6 19609 0 4312 6922 48 23625 1
"34" 1 19.583 32391 35922 46 51047 1 20843 22343 17 26750 1 14407 16594 20 25157 1 26563 27844 27 36703 1 10797 19531 42 30344 1 11609 18828 25 34531 1 27703 33141 36 45532 1 17547 19906 39 39250 1 16140 17890 48 35312 1 42391 46032 47 68766 1
"35" 0 21.6668 17062 18656 46 37203 1 22266 23266 17 27016 1 56031 57500 22 68562 1 19484 20437 27 29891 1 23281 26031 14 84640 0 31937 33906 23 51297 1 39297 55453 36 66172 1 27672 29281 39 41313 1 41609 42890 31 78218 0 23609 25719 46 44390 1
"36" 0 21 11688 13750 46 35282 1 26312 27187 17 32671 1 31078 33141 20 96734 1 16312 17594 27 27984 1 29265 40187 42 54062 1 16219 20984 26 69688 0 66140 70906 29 82515 1 22500 25688 39 40985 1 45406 46562 44 71781 1 35485 37422 46 59156 1
"37" 0 19.667 4219 16766 45 41594 1 42562 47468 17 51406 1 20094 20485 5 66203 0 1906 13937 27 24781 1 11031 46547 42 58234 1 40344 46282 25 53188 1 42875 72031 42 97312 1 14954 16391 21 69282 0 54829 56329 48 79204 1 50296 52093 46 74656 1
